Time(UTC),Symbol,Funding Rate
2023-01-16 08:00:00+00:00,BTCUSD,0.0001
2023-01-16 00:00:00+00:00,BTCUSD,0.0001
2023-01-15 16:00:00+00:00,BTCUSD,0.0001
2023-01-15 08:00:00+00:00,BTCUSD,0.0001
2023-01-15 00:00:00+00:00,BTCUSD,0.0001
2023-01-14 16:00:00+00:00,BTCUSD,0.0001
2023-01-14 08:00:00+00:00,BTCUSD,0.0001
2023-01-14 00:00:00+00:00,BTCUSD,7.547e-05
2023-01-13 16:00:00+00:00,BTCUSD,0.0001
2023-01-13 08:00:00+00:00,BTCUSD,4.106e-05
2023-01-13 00:00:00+00:00,BTCUSD,6.842e-05
2023-01-12 16:00:00+00:00,BTCUSD,0.0001
2023-01-12 08:00:00+00:00,BTCUSD,0.0001
2023-01-12 00:00:00+00:00,BTCUSD,2.536e-05
2023-01-11 16:00:00+00:00,BTCUSD,5.578e-05
2023-01-11 08:00:00+00:00,BTCUSD,0.0001
2023-01-11 00:00:00+00:00,BTCUSD,-0.00010341
2023-01-10 16:00:00+00:00,BTCUSD,7.401e-05
2023-01-10 08:00:00+00:00,BTCUSD,0.0001
2023-01-10 00:00:00+00:00,BTCUSD,5.653e-05
2023-01-09 16:00:00+00:00,BTCUSD,7.67e-06
2023-01-09 08:00:00+00:00,BTCUSD,0.0001
2023-01-09 00:00:00+00:00,BTCUSD,-2.225e-05
2023-01-08 16:00:00+00:00,BTCUSD,0.0001
2023-01-08 08:00:00+00:00,BTCUSD,2.851e-05
2023-01-08 00:00:00+00:00,BTCUSD,0.0001
2023-01-07 16:00:00+00:00,BTCUSD,0.0001
2023-01-07 08:00:00+00:00,BTCUSD,-8.927e-05
2023-01-07 00:00:00+00:00,BTCUSD,-8.511e-05
2023-01-06 16:00:00+00:00,BTCUSD,0.0001
2023-01-06 08:00:00+00:00,BTCUSD,2.927e-05
2023-01-06 00:00:00+00:00,BTCUSD,0.0001
2023-01-05 16:00:00+00:00,BTCUSD,0.0001
2023-01-05 08:00:00+00:00,BTCUSD,0.0001
2023-01-05 00:00:00+00:00,BTCUSD,0.0001
2023-01-04 16:00:00+00:00,BTCUSD,0.0001
2023-01-04 08:00:00+00:00,BTCUSD,9.468e-05
2023-01-04 00:00:00+00:00,BTCUSD,0.0001
2023-01-03 16:00:00+00:00,BTCUSD,-0.00019971
2023-01-03 08:00:00+00:00,BTCUSD,0.0001
2023-01-03 00:00:00+00:00,BTCUSD,6.735e-05
2023-01-02 16:00:00+00:00,BTCUSD,-3.981e-05
2023-01-02 08:00:00+00:00,BTCUSD,8.904e-05
2023-01-02 00:00:00+00:00,BTCUSD,-0.00011076
2023-01-01 16:00:00+00:00,BTCUSD,0.0001
2023-01-01 08:00:00+00:00,BTCUSD,0.0001
2023-01-01 00:00:00+00:00,BTCUSD,0.0001
2022-12-31 16:00:00+00:00,BTCUSD,0.0001
