timestamp,fear_greed_value,fear_greed_classification,exchange_volume_btc,perp_funding_rate_btc,m2_supply,m2_supply_month_pct_change,gld_etf_price_gold,futures_price_gold,price_btc,dxy_usd_index
3/14/18,40,Fear,49708.09411,,13966.4,0.4249566774284119,125.69999694824219,1324.4000244140625,8269.80957,89.7
3/15/18,32,Fear,52291.02228,,13966.4,0.4249566774284119,124.9000015258789,1316.800048828125,8300.860352,90.14
3/16/18,33,Fear,38815.40989,,13966.4,0.4249566774284119,124.5999984741211,1311.300048828125,8338.349609,90.23
3/17/18,31,Fear,33110.20633,,13966.4,0.4249566774284119,124.68999989827473,1313.1333821614583,7916.879883,90.23
3/18/18,29,Fear,59488.23171,,13966.4,0.4249566774284119,124.78000132242839,1314.9667154947917,8223.679688,90.23
3/19/18,29,Fear,55297.08494,,13966.4,0.4249566774284119,124.87000274658203,1316.800048828125,8630.650391,89.77
3/20/18,37,Fear,44865.10584,,13966.4,0.4249566774284119,124.30999755859375,1311.0999755859375,8913.469727,90.37
3/21/18,36,Fear,39972.40537,,13966.4,0.4249566774284119,126.4800033569336,1320.699951171875,8929.280273,89.78
3/22/18,36,Fear,40617.55681,,13966.4,0.4249566774284119,125.9800033569336,1326.5999755859375,8728.469727,89.86
3/23/18,28,Fear,39991.00767,,13966.4,0.4249566774284119,127.61000061035156,1349.300048828125,8879.620117,89.48
3/24/18,32,Fear,35466.60957,,13966.4,0.4249566774284119,127.83333333333333,1351.0000406901042,8668.120117,89.48
